,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
104,2021-07-21,668.3276439189395,591.985922218115,745.7529178580457,668.3276439189395,668.3276439189395,-0.9991574300323622,-0.9991574300323622,-0.9991574300323622,-0.9991574300323622,-0.9991574300323622,-0.9991574300323622,0.0,0.0,0.0,667.3284864889072
105,2021-07-22,669.1748671917333,581.3967293278071,731.7802657244239,669.1748671917333,669.1748671917333,-9.327065370000168,-9.327065370000168,-9.327065370000168,-9.327065370000168,-9.327065370000168,-9.327065370000168,0.0,0.0,0.0,659.8478018217331
106,2021-07-23,670.3346661438625,580.5176340831578,732.0597171641294,670.3346661438625,670.3346661438625,-11.645887282805997,-11.645887282805997,-11.645887282805997,-11.645887282805997,-11.645887282805997,-11.645887282805997,0.0,0.0,0.0,658.6887788610564
107,2021-07-26,673.8140630002501,590.5219555664919,746.4258068144311,673.8140630002501,673.8140630002501,-1.17224152244413,-1.17224152244413,-1.17224152244413,-1.17224152244413,-1.17224152244413,-1.17224152244413,0.0,0.0,0.0,672.641821477806
108,2021-07-27,674.9738619523793,602.663048213728,746.3712231491236,674.9738619523793,674.9738619523793,-4.661943177138454,-4.661943177138454,-4.661943177138454,-4.661943177138454,-4.661943177138454,-4.661943177138454,0.0,0.0,0.0,670.3119187752408
109,2021-07-28,676.1336609045086,598.705960822936,751.3177432025518,676.1336609045086,676.1336609045086,-0.9991574300250828,-0.9991574300250828,-0.9991574300250828,-0.9991574300250828,-0.9991574300250828,-0.9991574300250828,0.0,0.0,0.0,675.1345034744835
110,2021-07-29,677.2934598566377,593.4285274373173,742.6814332150853,677.2934598566377,677.2934598566377,-9.327065369997175,-9.327065369997175,-9.327065369997175,-9.327065369997175,-9.327065369997175,-9.327065369997175,0.0,0.0,0.0,667.9663944866405
111,2021-07-30,678.453258808767,593.9791548148764,738.4690921238891,678.453258808767,678.453258808767,-11.645887282858851,-11.645887282858851,-11.645887282858851,-11.645887282858851,-11.645887282858851,-11.645887282858851,0.0,0.0,0.0,666.8073715259081
112,2021-08-02,681.9326556651547,602.8031035751593,752.6557535061161,681.9326556651547,681.9326556651547,-1.172241522469445,-1.172241522469445,-1.172241522469445,-1.172241522469445,-1.172241522469445,-1.172241522469445,0.0,0.0,0.0,680.7604141426852
113,2021-08-03,683.0924546172839,603.587328972009,753.5696098039118,683.0924546172839,683.0924546172839,-4.6619431771440984,-4.6619431771440984,-4.6619431771440984,-4.6619431771440984,-4.6619431771440984,-4.6619431771440984,0.0,0.0,0.0,678.4305114401399
114,2021-08-04,684.5623244718705,608.82640895032,759.4074676990275,684.5623244718705,684.5623244718705,-0.9991574300434326,-0.9991574300434326,-0.9991574300434326,-0.9991574300434326,-0.9991574300434326,-0.9991574300434326,0.0,0.0,0.0,683.5631670418271
115,2021-08-05,686.0321943264569,599.9260106833156,753.9519963193904,686.0321943264569,686.0321943264569,-9.327065370012626,-9.327065370012626,-9.327065370012626,-9.327065370012626,-9.327065370012626,-9.327065370012626,0.0,0.0,0.0,676.7051289564442
116,2021-08-06,687.5020641810435,604.2671619168849,748.8273985974988,687.5020641810435,687.5020641810435,-11.645887282848182,-11.645887282848182,-11.645887282848182,-11.645887282848182,-11.645887282848182,-11.645887282848182,0.0,0.0,0.0,675.8561768981953
117,2021-08-09,691.9116737448031,616.774849194655,763.0687926778354,691.9116737448031,691.9116737448031,-1.1722415224704072,-1.1722415224704072,-1.1722415224704072,-1.1722415224704072,-1.1722415224704072,-1.1722415224704072,0.0,0.0,0.0,690.7394322223328
118,2021-08-10,693.3815435993897,614.4657979737809,768.3677323813878,693.3815435993897,693.3815435993897,-4.6619431771637805,-4.6619431771637805,-4.6619431771637805,-4.6619431771637805,-4.6619431771637805,-4.6619431771637805,0.0,0.0,0.0,688.7196004222259
119,2021-08-11,694.8514134539763,613.3339928933648,770.3297639451832,694.8514134539763,694.8514134539763,-0.999157430036152,-0.999157430036152,-0.999157430036152,-0.999157430036152,-0.999157430036152,-0.999157430036152,0.0,0.0,0.0,693.8522560239402
120,2021-08-12,696.3212833085628,610.0125049940801,762.0384652575281,696.3212833085628,696.3212833085628,-9.327065370018854,-9.327065370018854,-9.327065370018854,-9.327065370018854,-9.327065370018854,-9.327065370018854,0.0,0.0,0.0,686.9942179385439
121,2021-08-13,697.7911531631495,615.3559276887496,763.6347306400224,697.7911531631495,697.7911531631495,-11.645887282837517,-11.645887282837517,-11.645887282837517,-11.645887282837517,-11.645887282837517,-11.645887282837517,0.0,0.0,0.0,686.145265880312
122,2021-08-16,703.5939837461714,628.9513768835436,772.7811568622949,703.5939837461714,703.5939837461714,-1.1722415224713716,-1.1722415224713716,-1.1722415224713716,-1.1722415224713716,-1.1722415224713716,-1.1722415224713716,0.0,0.0,0.0,702.4217422237
123,2021-08-17,705.5282606071788,626.1880261520994,778.8237571972785,705.5282606071788,705.5282606071788,-4.661943177155557,-4.661943177155557,-4.661943177155557,-4.661943177155557,-4.661943177155557,-4.661943177155557,0.0,0.0,0.0,700.8663174300233
